,1,2,3,4,5,6,7,8,9
59,(-0.05264170402256844+0j),(0.014839373751793648+0j),(-0.05189843966132805+0j),(0.016192072526385798+0j),(-0.026504493713634284+0j),(-0.011863623380254967+0j),(0.0384312622305135+0j),(0.0009363036153972825+0j),(0.003376698353174392+0j)
60,(-0.00291313589272787+0j),(-0.001124005730003004+0j),(0.0008415256257761432+0j),(-0.007666475466374143+0j),(-0.003731192095044256+0j),(0.006353286557150344+0j),(0.001726627880666683+0j),(0.001142763136700722+0j),(-0.008511341778382569+0j)
61,(-0.005135503792439799+0j),(0.017310760069984738+0j),(0.12147313151753748+0j),(-0.009900966558868617+0j),(-0.04467555744391706+0j),(-0.041930410925754225+0j),(0.09437497803909305+0j),(-0.06226343333431233+0j),(0.07552515986351047+0j)
62,(-0.02538235184146928+0j),(-0.023440348209468567+0j),(0.014886241355359084+0j),(0.013042902609929763+0j),(0.0032722465665832885+0j),(-0.00576884715894009+0j),(0.048898942795800475+0j),(-0.004992621584741389+0j),(0.029931448558777562+0j)
63,(-0.040725760594999466+0j),(-0.028115865385992228+0j),(-0.014994424894026928+0j),(0.03168189969330318+0j),(0.00027058478999979457+0j),(-0.021649690935725083+0j),(0.024279253168691634+0j),(0.0046417996164384604+0j),(-0.04765819180179217+0j)
64,(-0.02648143528742984+0j),(-0.059329299385703374+0j),(-0.04066959083971009+0j),(-0.006606995251935469+0j),(-0.039280039942917525+0j),(0.014274393727467694+0j),(0.005669210412880258+0j),(0.05638260703416598+0j),(0.03185189210190477+0j)
65,(-0.06242508371602634+0j),(-0.04595331791791707+0j),(-0.06548102243816505+0j),(0.07019830973033941+0j),(0.000854883297271643+0j),(0.013993952291397178+0j),(-0.000896080536995465+0j),(-0.05387058596971443+0j),(0.020570498888037306+0j)
66,(-0.004841063129062938+0j),(0.027407904834232902+0j),(0.02855699025398705+0j),(-0.005180138377532133+0j),(-0.0019523159852908444+0j),(-0.002557874461111701+0j),(0.02062384372593973+0j),(-0.006083823679019191+0j),(-0.030862260984062438+0j)
67,(-0.024074113244579972+0j),(0.016997684542336005+0j),(0.02231323426700471+0j),(0.012324231568794782+0j),(0.04557153162254171+0j),(0.09023674349802416+0j),(-0.01562897604465283+0j),(0.06071834586742379+0j),(0.011293509791237182+0j)
68,(-0.0930624353623434+0j),(-0.06707726738987098+0j),(0.05201206417844422+0j),(0.04312636226647335+0j),(0.01164488098955508+0j),(-0.11553567575622636+0j),(0.1165356312273169+0j),(-0.04200158880794857+0j),(-0.0015276174948689603+0j)
69,(0.012418324400984665+0j),(-0.03294996185713815+0j),(0.015414294585023885+0j),(-0.02341649125234314+0j),(-0.020444790088608458+0j),(0.02984105559950333+0j),(-0.0036200827048428978+0j),(0.004465954754012424+0j),(0.05027244473655292+0j)
70,(0.12505681517264441+0j),(0.06473876226973875+0j),(0.03299453803058172+0j),(-0.06371586910222166+0j),(0.047523555547661515+0j),(-0.030839771730632893+0j),(-0.03445880225104877+0j),(-0.014574641168849352+0j),(-0.01308204512545133+0j)
71,(-0.010350860483152275+0j),(0.012539119903785643+0j),(-0.027625458190331357+0j),(-0.10058925909403492+0j),(-0.04500842095298673+0j),(-0.0664179738782901+0j),(0.07353526933288047+0j),(0.1273686365537012+0j),(0.04125614372761369+0j)
